id_vaga,tool
30538258,NUMPY
30538258,SCIKIT-LEARN
30538258,IA
30538258,KERAS
30538258,R
30538258,GENERATIVA
30538258,WATSON
30538258,TENSORFLOW
30538258,TABLEAU
30538258,PANDAS
30538258,PYTHON
30538258,CAFFE
30543176,SQL
30543176,GCP
30543176,BIGQUERY
30543176,R
30543176,LEARNING
30543176,PYTHON
30627323,SQL
30627323,TABLEAU
30627323,PYTHON
30627323,R
30355283,GITHUB
30355283,NUMPY
30355283,GCP
30355283,IA
30355283,BIGQUERY
30355283,FLASK
30355283,PANDAS
30355283,PYTHON
30637138,EXCEL
30255103,SQL
30255103,R
29866042,AZURE
29866042,SCALA
29866042,SPARK
29866042,DATABRICKS
29866042,PYTHON
30534013,SQL
30534013,R
30534013,LEARNING
30534013,TABLEAU
30534013,PYTHON
30614096,TABLEAU
30277440,BEAUTIFULSOUP
30277440,SQL
30277440,SCRAPY
30277440,LEARNING
30277440,TABLEAU
30277440,PYTHON
30438764,SQL
30438764,PL/SQL
30438764,LINUX
30438764,JAVA
30438764,MYSQL
30438764,PYTHON
30487145,EXCEL
30132650,SQL
30132650,GCP
30132650,NOSQL
30132650,PYTHON
30132650,AIRFLOW
30395252,QLIKVIEW
30395252,SQL
30395252,R
30395252,TABLEAU
30395252,PYTHON
29969560,AZURE
29969560,SQL
29969560,API
29969560,DATABRICKS
29969560,PYTHON
30330972,EXCEL
30330972,SQL
30330972,TABLEAU
29797497,EXCEL
29797497,SQL
29797497,TABLEAU
30076783,EXCEL
30076783,SQL
30076783,TABLEAU
30648672,JAVA
30648672,TERRAFORM
30648672,SQL
30648672,PYTHON
30672142,SQL
30672142,TABLEAU
30216854,AZURE
30068460,EXCEL
30015621,PL/SQL
30015621,GENERATIVA
30015621,IA
30306466,SQL
30306466,PYTHON
30303578,SQL
30303578,API
30303578,PYTHON
29240644,EXCEL
29119549,JAVASCRIPT
29119549,PYTHON
30077453,SQL
30077453,DEEP
30077453,PYSPARK
30077453,LEARNING
30077453,PYTHON
30077453,AIRFLOW
30427409,AZURE
30427409,AWS
30427409,SQL
30427409,MATPLOTLIB
30427409,SEABORN
30427409,HADOOP
30427409,PYTORCH
30427409,NUMPY
30427409,SCIKIT-LEARN
30427409,R
30427409,SPARK
30427409,NOSQL
30427409,LEARNING
30427409,TENSORFLOW
30427409,TABLEAU
30427409,PANDAS
30427409,PYTHON
30342934,LINUX
30342934,REST
30342934,HADOOP
30342934,CLOUDERA
30342934,SCALA
30342934,HBASE
30342934,KUBERNETES
30342934,GIT
30342934,SOAP
30342934,PYTHON
30664732,AZURE
30664732,SQL
30664732,SCALA
30664732,CASSANDRA
30664732,SPARK
30664732,NOSQL
30664732,DATABRICKS
30664732,PYTHON
30033103,SQL
30033103,NUMPY
30033103,EXCEL
30033103,PANDAS
30033103,PYTHON
30665766,EXCEL
30494549,LEARNING
30494549,ML
30552485,AWS
30552485,HADOOP
30552485,POSTGRESQL
30552485,MONGODB
30552485,SPARK
30552485,MYSQL
30552485,KAFKA
30552485,AIRFLOW
30541757,AWS
30541757,POWERBI
30541757,SQL
30541757,QLIKSENSE
30541757,EXCEL
30541757,PYTHON
30503017,AZURE
30503017,AWS
30503017,PL/SQL
30503017,GITHUB
30503017,SPARK
30503017,DATABRICKS
30503017,PYTHON
29797663,AWS
30200783,SQL
30073339,EXCEL
29990048,EXCEL
30185368,SQL
30185368,POWERBI
30132253,SQL
30132253,GCP
30132253,NOSQL
30132253,PYTHON
30132253,AIRFLOW
30672146,EXCEL
30672146,SQL
30377092,EXCEL
30105194,EXCEL
30511110,SQL
30511110,MYSQL
30511110,TERADATA
30511110,DOMO
30511110,TABLEAU
30615492,SQL
30615492,POSTGRESQL
30615492,MYSQL
30615492,PYTHON
30615492,SNOWFLAKE
30114536,QLIK
30314585,POWERBI
30314585,MYSQL
30530512,POWERBI
30530512,SQL
30530512,DEEP
30530512,GIT
30530512,NOSQL
30530512,LEARNING
30530512,TABLEAU
30530512,PYTHON
30550412,AZURE
30550412,AWS
30550412,GCP
30550412,PYTHON
30550412,AIRFLOW
30473336,SQL
30473336,PYTHON
30674076,SQL
30616620,SQL
30616620,HADOOP
30616620,HIVE
30616620,GCP
30616620,SPARK
30616620,TERRAFORM
30616620,PYTHON
30624588,LEARNING
30624588,EXCEL
30624588,SQL
30624588,PYTHON
30320547,QLIKVIEW
30320547,SQL
30320547,TABLEAU
30120234,AWS
30120234,SQL
30120234,SCALA
30120234,HADOOP
30120234,JAVA
30120234,SPARK
30120234,NOSQL
30120234,REDSHIFT
30120234,PYTHON
27111430,LEARNING
27111430,SQL
27111430,PANDAS
30473733,EXCEL
29892678,EXCEL
29892678,SQL
29892678,PYTHON
30424845,EXCEL
30210624,AZURE
30210624,C
30210624,PYSPARK
30210624,KUBERNETES
30210624,R
30210624,SPARK
30210624,DATABRICKS
30210624,PYTHON
29890629,SQL
29890629,QLIK
29890629,EXCEL
29890629,R
29890629,TABLEAU
29890629,PYTHON
30639303,AZURE
30639303,POWERBI
30639303,SAS
30639303,TABLEAU
30639303,DATABRICKS
30639303,PYTHON
30672567,SQL
30504154,PYTHON
30526833,AZURE
30526833,SQL
30526833,NOSQL
30526833,PYTHON
30053740,EXCEL
30471716,LEARNING
30471716,QLIK
30471716,SQL
30471716,PL/SQL
30110228,EXCEL
30143248,LINUX
30633965,LEARNING
30633965,BIGQUERY
30633965,GCP
30633965,ML
29820450,AWS
29820450,SQL
29820450,R
29820450,LEARNING
29820450,REDSHIFT
29820450,PYTHON
30561062,SQL
30561062,QLIK
30561062,POSTGRESQL
30561062,MONGODB
30561062,GCP
30561062,BIGQUERY
30561062,MYSQL
28818811,SQL
28818811,CLOUDERA
28818811,JAVA
28818811,LEARNING
28818811,PYTHON
30474847,SQL
30474847,PYTHON
30099229,EXCEL
30533960,AWS
30533960,SQL
30533960,DEEP
30533960,PYTORCH
30533960,GCP
30533960,GIT
30533960,BIGQUERY
30533960,KERAS
30533960,LEARNING
30533960,TENSORFLOW
30533960,PYTHON
30637194,EXCEL
30637194,SQL
30637194,TABLEAU
30108808,AZURE
30612734,EXCEL
29818677,SQL
29818677,PYTHON
30415435,AZURE
30415435,AWS
30415435,SQL
30415435,PYTHON
30200376,SQL
29778382,SQL
29778382,TABLEAU
29778382,PYSPARK
29778382,HADOOP
30662951,SQL
30662951,GCP
30662951,BIGQUERY
30662951,LOOKER
30662951,PYTHON
30662951,AIRFLOW
30518965,LOOKER
